id_cliente,nome,cpf,telefone,email,data_nascimento,sexo,endereco,numero,bairro,cep,cidade,estado
23,Rafael Rocha,498.316.570-39,31 2656-8773,cassianosabrina@example.com,1995-09-01,Masculino,"Estação de Vieira, 82",4,Conjunto Celso Machado,52288146,São Paulo,São Paulo
24,Bianca Carvalho,327.869.450-38,+55 (031) 7067 0343,orezende@example.com,1977-06-14,Feminino,Quadra Igor Duarte,56,Álvaro Camargos,08523-048,São Paulo,São Paulo
25,Oliver Pastor,801.542.397-04,+55 (011) 5264-7558,da-motaeduarda@example.com,2003-06-20,Masculino,"Passarela de Aragão, 69",35,Leonina,55522958,São Paulo,São Paulo
26,Felipe das Neves,607.418.593-00,+55 84 5421 7157,marina06@example.net,1967-01-08,Masculino,"Vale Antony Peixoto, 15",31,Vila Sesc,88910-351,São Paulo,São Paulo
27,Erick Sá,910.584.362-60,+55 61 4939-2271,luizacastro@example.com,1960-06-23,Masculino,"Viela de Aparecida, 9",30,Vila Cloris,39832618,São Paulo,São Paulo
28,Matheus Pires,461.250.789-49,+55 (051) 1846-3427,monteiroaugusto@example.net,1981-09-15,Masculino,"Rua Nogueira, 8",684,Vila Cloris,75480-339,São Paulo,São Paulo
29,Maya Rezende,863.751.294-19,71 1574 3683,leticia54@example.com,2003-12-17,Feminino,"Loteamento Alves, 52",364,Laranjeiras,95932-245,São Paulo,São Paulo
30,Enrico Peixoto,428.716.509-85,+55 (081) 7963-8699,andrecasa-grande@example.net,1996-11-18,Masculino,Distrito Helena Albuquerque,4,São Pedro,54332042,São Paulo,São Paulo
31,Caleb da Rocha,264.875.130-08,0800 096 6562,fpereira@example.net,1956-08-08,Masculino,"Favela Melo, 11",5,Maravilha,37378-767,São Paulo,São Paulo
32,Júlia Duarte,906.182.374-96,+55 (021) 1515-4552,alicerios@example.org,1993-01-29,Feminino,"Área Enrico Castro, 53",61,Cenaculo,14590-942,São Paulo,São Paulo
33,Lavínia da Cunha,213.579.068-03,51 9898 7340,pietrapastor@example.com,1961-02-04,Feminino,Morro Santos,13,Cidade Jardim Taquaril,86654512,São Paulo,São Paulo
34,Bruna Martins,901.726.385-77,+55 (061) 4683-7847,das-nevesnicole@example.com,1985-04-08,Feminino,Via de da Costa,78,Vila Paraíso,52726891,São Paulo,São Paulo
35,Davi Miguel da Conceição,508.964.732-10,0800 938 9129,barrosjoao@example.org,1985-07-20,Masculino,"Área Rocha, 922",89,Jardim Leblon,20553-652,São Paulo,São Paulo
36,Eduardo Mendes,926.317.840-22,21 1131-5422,valentim20@example.org,2002-07-31,Masculino,"Loteamento Casa Grande, 35",5,Padre Eustáquio,72678450,São Paulo,São Paulo
37,Camila Aragão,930.127.865-03,0800-328-9523,antony98@example.com,1998-01-17,Feminino,"Passarela Jesus, 26",18,Santana Do Cafezal,59944431,São Paulo,São Paulo
38,Ana Liz Nunes,025.893.167-12,21 7185 4243,pintomaya@example.com,1971-01-21,Feminino,"Residencial Nathan da Luz, 414",38,Santa Tereza,95673-132,São Paulo,São Paulo
39,Ana Liz Garcia,072.154.639-07,11 3792-7994,hadassarodrigues@example.net,1984-09-28,Feminino,"Condomínio Otto Ferreira, 156",62,Funcionários,51086013,São Paulo,São Paulo
40,Ana Sophia Araújo,587.941.326-82,0500 895 5314,hda-luz@example.com,1965-06-12,Feminino,"Residencial de Ramos, 791",1,Copacabana,13185-601,São Paulo,São Paulo
41,Pietra Melo,478.032.569-29,41 8496-3274,cardosomaya@example.org,1991-08-30,Feminino,"Colônia Rezende, 34",18,Conjunto Novo Dom Bosco,69784119,São Paulo,São Paulo
42,Sabrina Viana,281.674.359-46,71 6507 2802,ymelo@example.org,1993-03-20,Feminino,"Esplanada de Barbosa, 70",97,Piraja,88450172,São Paulo,São Paulo
43,Pedro Gonçalves,891.527.640-01,+55 81 9310-2724,monteiroana-liz@example.net,1965-03-23,Masculino,"Praia de Vargas, 34",54,Califórnia,74837-072,São Paulo,São Paulo
44,Renan Melo,015.397.246-70,+55 (071) 2449 0514,ana36@example.com,1992-02-04,Masculino,Sítio de Campos,16,Vitoria,02058932,São Paulo,São Paulo
45,Augusto das Neves,560.429.871-94,+55 41 3818 7138,duartegabriela@example.net,1985-09-30,Masculino,"Travessa Caleb Mendonça, 58",157,Conjunto Floramar,49527435,São Paulo,São Paulo
46,Gael Fernandes,791.460.238-87,41 7523-2819,ravy94@example.net,1986-04-15,Masculino,"Rodovia de Brito, 32",12,Esplanada,76587-779,São Paulo,São Paulo
47,Maria Vitória Aparecida,816.203.945-70,(031) 2897-7509,arthur-miguelgarcia@example.com,1966-06-27,Feminino,"Rua de Sales, 714",96,Canadá,64544368,São Paulo,São Paulo
48,Clarice Moura,741.682.305-62,71 3448 7409,vitoria83@example.net,1996-02-05,Feminino,"Trecho de Montenegro, 50",42,Nova Cintra,88217152,São Paulo,São Paulo
49,Luiz Henrique Macedo,041.586.793-20,+55 61 0281-6327,alexandreduarte@example.org,1979-12-17,Masculino,"Área de Cavalcante, 772",7,Piratininga,13787-297,São Paulo,São Paulo
50,Brenda Cassiano,750.693.481-75,0800 365 6796,liviapacheco@example.org,1961-05-19,Feminino,"Fazenda de Peixoto, 27",6,São Jorge 1ª Seção,65315-540,São Paulo,São Paulo
