id_cliente;nome;cpf;email;telefone;data_nascimento;sexo;cidade;estado
52;Alícia Azevedo;650.492.173-34;psousa@example.net;+55 (061) 5759-1422;1966-04-02;Feminino;Belo Horizonte;MG
53;Sabrina Costa;831.674.059-10;eda-conceicao@example.net;+55 81 4711-9092;1960-04-11;Feminino;São Paulo;SP
54;Maria Helena Monteiro;418.092.563-05;antonella31@example.org;84 7161 8423;1979-06-13;Feminino;Goiânia;GO
55;João Felipe Porto;710.538.962-12;mlopes@example.net;(011) 2127 0628;1969-03-10;Masculino;Rio de Janeiro;RJ
56;Helena Caldeira;518.926.034-89;barbosaluigi@example.net;(031) 3759-0766;1992-11-22;Feminino;São Paulo;SP
57;Mateus Aragão;324.951.708-97;eduardaaraujo@example.com;+55 84 7321-6043;1998-11-25;Masculino;Boa Vista;RR
58;Benjamim Correia;091.483.567-00;da-conceicaoester@example.net;61 9137-8257;1974-07-17;Masculino;Rio de Janeiro;RJ
59;Zoe Freitas;206.789.153-77;salesfrancisco@example.net;+55 84 8445 5167;1985-11-12;Feminino;Belém;PA
60;Murilo Sá;531.420.679-06;gmoreira@example.com;+55 41 9252-0810;1966-09-14;Masculino;Maceió;AL
61;Breno Duarte;361.574.829-82;carlos-eduardodas-neves@example.net;(041) 3899-3395;1962-12-26;Masculino;Cuiabá;MT
62;Ana Clara Vieira;492.806.317-13;da-cruzrhavi@example.net;+55 51 8564 6483;1960-12-02;Feminino;Campinas;SP
63;Ravy Santos;921.036.754-52;isaque18@example.net;11 7533 4891;1959-12-19;Masculino;João Pessoa;PB
64;Arthur Cavalcanti;971.340.256-16;brenofonseca@example.com;41 2053 9354;1970-04-04;Masculino;Teresina;PI
65;Ana Cecília Andrade;241.376.509-34;maria-claramacedo@example.net;+55 21 6231 9417;1975-09-24;Feminino;Aracaju;SE
66;Sabrina Barros;680.547.231-80;agatha50@example.net;+55 51 9089 9787;1966-06-11;Feminino;Salvador;BA
67;Sarah Rezende;169.253.480-70;yago81@example.com;41 6829 4282;1996-04-21;Feminino;Fortaleza;CE
68;Théo Pereira;843.052.679-00;joanamoura@example.com;61 7581 3918;1976-07-09;Masculino;Belo Horizonte;MG
69;Luigi Silveira;327.815.096-12;lunnavieira@example.org;+55 (031) 4809 2555;1993-06-09;Masculino;Boa Vista;RR
70;Evelyn Moreira;485.162.073-07;miguelporto@example.com;+55 31 7457-8815;1965-05-06;Feminino;Belém;PA
71;Eloah Cardoso;340.159.786-84;macedolara@example.org;+55 71 5911 3210;1986-11-28;Feminino;Palmas;TO
72;José Miguel Guerra;489.160.372-04;livia13@example.org;(071) 2164-7321;1988-07-03;Masculino;Brasília;DF
73;Pedro Lucas Moreira;403.562.891-33;pimentaanthony-gabriel@example.com;0800 775 6085;1978-08-31;Masculino;Boa Vista;RR
74;Breno Martins;648.790.312-40;vdas-neves@example.org;+55 (021) 4467 9587;1983-08-29;Masculino;Rio Branco;AC
75;Ana Julia Souza;962.351.047-07;gabriel71@example.org;31 7421-0099;1972-08-24;Feminino;Belo Horizonte;MG
76;Stella Cavalcanti;127.389.560-68;fonsecamirella@example.net;51 5702 8257;1958-03-15;Feminino;Florianópolis;SC
77;Anthony Lopes;809.246.157-02;maria-fernanda58@example.org;+55 84 6338 0777;1970-01-18;Masculino;Curitiba;PR
78;Ravy Freitas;019.467.832-69;asafe13@example.com;+55 (011) 7890-1800;2000-06-27;Masculino;Rio de Janeiro;RJ
79;Alice Fogaça;214.506.873-26;joaquim27@example.net;41 0395-1177;1964-11-18;Feminino;Teresina;PI
80;Lívia Araújo;694.205.137-34;raulpires@example.net;31 7551-6292;1992-03-04;Feminino;Cuiabá;MT
81;Thales Campos;621.097.584-49;gustavo-henriqueribeiro@example.org;(051) 8843 9709;1999-09-28;Masculino;Campo Grande;MS
82;Ester Costa;652.481.307-35;alexia91@example.net;+55 (031) 0857 1516;1960-11-04;Feminino;Macapá;AP
83;Maria Laura da Cruz;289.704.613-96;leorodrigues@example.com;+55 21 8940 1065;2005-10-12;Feminino;Palmas;TO
84;Breno Vargas;469.871.305-66;montenegrodavi-lucas@example.net;81 6995 1336;1969-03-06;Masculino;Goiânia;GO
85;Samuel Duarte;107.246.835-26;hadassa50@example.com;51 6679 1746;1979-01-14;Masculino;Cuiabá;MT
86;Pietra Lopes;257.683.401-90;vieiramiguel@example.net;+55 (031) 2797 1007;1976-06-17;Feminino;Vitória;ES
87;Anthony Gabriel Ferreira;210.395.687-77;marcelo43@example.org;(081) 7816-8942;1978-01-19;Masculino;Palmas;TO
88;Rafaela Lima;604.357.198-66;camaramatheus@example.org;71 1787 7002;2007-01-26;Feminino;Brasília;DF
89;Lorena da Cruz;290.837.415-32;liviamartins@example.org;+55 (084) 5954 9336;1957-06-25;Feminino;São Paulo;SP
90;Maria Julia Ferreira;490.286.751-67;klima@example.org;+55 (011) 5305 7124;1977-05-18;Feminino;Belém;PA
91;Enzo Gabriel Nunes;874.063.952-56;camarasarah@example.net;31 5493 8679;1957-12-25;Masculino;São Paulo;SP
92;Enrico da Costa;874.293.156-82;gustavobrito@example.com;(061) 5908-7976;1975-06-12;Masculino;São Paulo;SP
93;Rafaela Pastor;391.852.064-15;mlopes@example.org;81 2667-1275;1960-04-11;Feminino;Aracaju;SE
94;Brenda Novais;678.201.934-50;varaujo@example.org;61 7713-5843;1978-07-17;Feminino;São Luís;MA
95;Benjamim Novaes;832.159.467-00;rviana@example.com;+55 21 3920-4238;1980-09-26;Masculino;Belo Horizonte;MG
96;Raul Rios;456.978.210-85;lavinia38@example.org;(021) 6979-2166;1990-03-09;Masculino;Florianópolis;SC
97;Ana Liz Sá;986.172.450-85;luiz-gustavo92@example.net;+55 31 4457-5244;1960-10-31;Feminino;Macapá;AP
98;Sophie Lopes;920.637.185-12;valentina58@example.org;0900 878 2400;1994-09-17;Feminino;Cuiabá;MT
99;Allana Rezende;172.058.964-01;pedro-miguelda-paz@example.net;(011) 7926-6845;1982-02-14;Feminino;Belém;PA
100;Arthur Oliveira;861.209.475-58;sophia13@example.org;+55 11 1599 1776;1991-02-24;Masculino;João Pessoa;PB
