ID;Nome Completo;Idade;CPF;Sexo;Estado Civil;E-mail;Telefone;Cidade;Estado;Marca;Modelo;Ano_fabricacao;Cor;Valor_venda;Data_venda;Forma_pagamento;Custo_aquisicao;Custo_reparos;Lucro;Data_entrada_estoque;Dias_estoque;Vendedor;Origem_lead;NPS_cliente;Status_pagamento
15;Isabela da Costa;44;045.631.792-99;Feminino;Solteiro;davi-lucca88@example.com;61 2754-9916;Vieira;RR;Chevrolet;Prisma;2020;Branco;56700,22;2024-09-11;Financiamento;45780,6;2318,57;8601,050000000003;2023-07-14;425;Sra. Emanuelly da Cunha;Indicação;10;Em Atraso
16;Elisa da Conceição;27;372.819.504-97;Feminino;Divorciado;emanuellada-mata@example.net;(061) 2867-3176;Martins;AM;Citroen;Aircross;2016;Branco;164450,83;2025-02-03;Financiamento;126170,9;9531,78;28748,149999999994;2023-05-09;636;Luna Lima;Feira;9;Pago
17;João da Cunha;65;836.259.417-91;Masculino;Solteiro;kevin60@example.com;(041) 3221-2530;da Luz;DF;Fiat;Pulse;2021;Vermelho;134216,69;2024-10-25;Financiamento;95575,67;0,0;38641,020000000004;2023-08-02;450;Alexia Cavalcanti;Outros;9;Em Atraso
18;Ana Vitória Fernandes;27;059.386.217-12;Feminino;Viúvo;tmarques@example.net;61 3701-7301;Rezende;PE;Citroen;C4;2022;Preto;80878,32;2024-05-20;Financiamento;64363,93;0,0;16514,390000000007;2023-10-14;219;Ian Pereira;Feira;8;Em Atraso
19;Miguel Mendes;27;539.872.461-46;Masculino;Solteiro;thomas27@example.net;(031) 7046 3675;Mendes de Caldeira;RR;Honda;HR-V;2023;Cinza;114785,83;2024-12-18;Leasing;100311,79;5563,76;8910,280000000008;2024-09-09;100;Davi Lucca Novaes;Site;8;Cancelado
20;Pietro Sá;57;583.749.016-75;Masculino;Viúvo;lais99@example.com;+55 (071) 5071 9342;Monteiro;PI;Citroen;C4 Grand Picasso;2020;Vermelho;209473,81;2024-07-31;Financiamento;186362,59;7564,21;15547,010000000002;2023-05-05;453;Luna Lima;Busca Direta;8;Em Atraso
21;Emanuella da Rosa;63;641.037.589-10;Feminino;Divorciado;xandrade@example.net;(011) 6145 2886;Alves de Farias;MG;Citroen;C3;2013;Branco;144379,97;2024-09-26;Financiamento;116681,27;4295,93;23402,769999999997;2023-11-13;318;Ian Pereira;Site;7;Pago
22;Maria Liz Cavalcante;21;429.863.750-65;Feminino;Solteiro;limabenjamim@example.com;+55 81 8239-5988;Pinto de Fogaça;PR;Hyundai;HB20S;2014;Branco;72665,86;2024-12-12;Financiamento;63287,6;0,0;9378,260000000002;2023-07-05;526;Alexia Cavalcanti;Redes Sociais;9;Em Atraso
23;Marcela Albuquerque;45;983.046.571-39;Feminino;Casado;estherdas-neves@example.com;51 5875 2325;Dias da Prata;PB;Honda;Fit;2015;Branco;225926,89;2025-02-19;À vista;164977,96;4128,41;56820,52000000002;2024-02-28;357;Davi Lucca Novaes;Indicação;9;Pago
24;Isabelly Martins;69;819.765.023-30;Feminino;Solteiro;aliciasilva@example.org;+55 (081) 5920 1434;Silveira;AL;Volskwagen;Virtus;2015;Cinza;117849,31;2024-12-10;Financiamento;88071,49;1133,64;28644,179999999993;2024-06-13;180;Luana Santos;Feira;10;Cancelado
25;Carolina Nascimento;41;498.362.150-42;Feminino;Casado;jda-paz@example.org;+55 (041) 4924 0289;Cavalcante da Mata;PB;Honda;Fit;2019;Branco;100730,17;2024-10-03;Leasing;72562,8;0,0;28167,369999999995;2023-08-01;429;Luna Lima;Redes Sociais;6;Cancelado
26;Luiz Otávio Andrade;50;204.596.317-99;Masculino;Casado;bborges@example.com;+55 (021) 1660-7482;Monteiro;DF;Toyota;Etios;2019;Cinza;43533,71;2024-11-19;À vista;31088,92;3643,97;8800,820000000002;2024-07-07;135;Davi Lucca Novaes;Outros;8;Pago
27;Daniel Guerra;68;362.415.708-62;Masculino;Viúvo;alexiapereira@example.net;(021) 9011 6633;Silva;CE;Peugeot;308;2022;Branco;147037,95;2024-11-16;À vista;108475,75;7379,48;31182,720000000012;2024-05-31;169;Luna Lima;Site;8;Pago
28;Luiz Otávio Dias;19;526.893.704-92;Masculino;Viúvo;fariascatarina@example.org;81 2428-9210;Nogueira;PI;Citroen;C3;2023;Branco;98325,18;2024-10-03;À vista;86600,33;0,0;11724,849999999991;2024-03-22;195;Ian Pereira;Outros;7;Pago
29;Thomas da Rocha;47;329.608.154-24;Masculino;Viúvo;ana-liviarocha@example.org;+55 (031) 2192-7477;Moreira;PE;Citroen;C3;2019;Prata;167132,41;2025-01-26;Financiamento;135030,72;3164,77;28936,920000000002;2024-08-11;168;Luana Santos;Site;7;Cancelado
30;Diego Pastor;68;826.701.459-49;Masculino;Viúvo;maria-luisa68@example.org;0300 595 7941;Novais;AM;Citroen;Aircross;2013;Prata;246032,61;2024-07-04;À vista;213968,32;3315,59;28748,69999999998;2024-03-31;95;Ian Pereira;Site;1;Pago
31;Isadora Andrade;58;920.317.685-30;Feminino;Solteiro;camargoana-sophia@example.org;(081) 3568-0949;Nunes de Minas;PE;Jeep;Wrangler;2022;Azul;200829,85;2024-12-21;Financiamento;160736,66;1775,73;38317,46;2024-03-10;286;Alexia Cavalcanti;Redes Sociais;10;Em Atraso
32;Julia da Conceição;25;987.205.346-47;Feminino;Solteiro;lucas-gabrielmoura@example.org;+55 (084) 5582-5363;Freitas Verde;AM;Fiat;500e;2014;Prata;234144,55;2024-10-31;Financiamento;169568,39;2852,77;61723,38999999998;2023-11-13;353;Sra. Emanuelly da Cunha;Busca Direta;10;Cancelado
33;Otto Peixoto;53;260.951.743-25;Masculino;Solteiro;alvesjosue@example.org;51 9531 4641;Rios;RN;Ford;Ka;2022;Vermelho;119389,96;2024-10-28;À vista;91340,9;8681,92;19367,140000000014;2023-05-09;538;Paulo Castro;Feira;3;Pago
34;Leandro Sampaio;50;275.318.904-88;Masculino;Casado;xcastro@example.org;0900-284-1769;Andrade;MT;Ford;Focus;2018;Prata;238677,48;2025-03-13;Leasing;189162,87;3398,07;46116,540000000015;2023-12-18;451;Dr. Renan Jesus;Indicação;4;Em Atraso
35;Alexia Camargo;22;137.290.658-40;Feminino;Casado;jade87@example.net;(041) 3075-1951;Monteiro;AL;Ford;Focus;2016;Vermelho;155734,19;2025-04-18;À vista;125740,87;9180,66;20812,660000000007;2023-08-18;609;Ian Pereira;Redes Sociais;7;Pago
36;Ravi Lucca Garcia;54;758.034.169-75;Masculino;Viúvo;jda-costa@example.net;(041) 3654-0973;Duarte do Campo;SE;Ford;Focus;2022;Preto;169843,2;2024-05-13;À vista;152343,43;3304,63;14195,140000000018;2023-07-03;315;Dr. Renan Jesus;Busca Direta;9;Pago
37;Helena Casa Grande;63;146.305.927-25;Feminino;Solteiro;machadoana-sophia@example.com;0800-634-7909;Vargas;AM;Citroen;C4 Grand Picasso;2022;Vermelho;116801,7;2025-01-16;À vista;101154,84;3037,33;12609,53;2023-05-17;610;Ian Pereira;Feira;9;Pago
38;Gabriela Machado;54;521.963.740-16;Feminino;Solteiro;isadora60@example.org;+55 (081) 3155-4787;da Mata;MT;Citroen;Basalt;2022;Cinza;208486,36;2025-03-16;À vista;157636,52;9442,96;41406,88;2024-03-03;378;Sra. Emanuelly da Cunha;Outros;2;Pago
39;Levi Borges;32;561.794.082-11;Masculino;Casado;davi-lucca06@example.net;0300 227 0526;Novais;PI;Fiat;500e;2017;Vermelho;109141,87;2024-05-14;À vista;77877,43;9330,94;21933,5;2023-12-10;156;Ian Pereira;Busca Direta;2;Pago
40;Ana Carolina Rezende;63;279.458.013-23;Feminino;Divorciado;ana-laurada-rosa@example.org;+55 71 7154-7720;Castro do Galho;CE;Fiat;Toro;2021;Vermelho;75930,52;2025-01-25;À vista;64236,9;5808,64;5884,980000000002;2024-05-24;246;Davi Lucca Novaes;Busca Direta;9;Pago
41;Julia Santos;32;310.762.859-02;Feminino;Divorciado;henriquemoraes@example.org;+55 81 7390-3898;Aragão de Abreu;CE;Ford;Ecosport;2016;Verde;150522,31;2024-12-25;Financiamento;107090,16;0,0;43432,149999999994;2023-12-12;379;Davi Lucca Novaes;Feira;6;Pago
42;João Guilherme Camargo;24;981.536.427-82;Masculino;Viúvo;antoniosantos@example.com;(061) 7278-8740;Pereira do Norte;AM;Fiat;Mobi;2018;Branco;147826,72;2025-03-27;Financiamento;112216,64;4261,74;31348,340000000004;2024-12-17;100;Luana Santos;Indicação;5;Cancelado
43;Pietro Duarte;39;091.346.857-66;Masculino;Solteiro;vitoriavargas@example.org;11 5354 2866;Araújo;RO;Citroen;Aircross;2016;Azul;106149,74;2024-05-08;À vista;89058,69;9054,22;8036,830000000004;2023-04-21;383;Luana Santos;Feira;8;Pago
44;Sabrina Leão;52;621.978.534-73;Feminino;Viúvo;dante43@example.com;+55 (081) 4864-5873;Rios;MS;Volskwagen;Voyage;2020;Prata;126804,17;2025-01-27;Leasing;95636,86;0,0;31167,309999999998;2024-01-13;380;Luna Lima;Site;2;Pago
45;Pedro Henrique Pastor;25;391.250.768-68;Masculino;Casado;machadorodrigo@example.net;0900 415 2693;Novais;RR;Ford;Ka;2018;Prata;108913,6;2025-02-06;Financiamento;95522,23;4152,57;9238,80000000001;2024-09-26;133;Paulo Castro;Busca Direta;8;Pago
46;Elisa da Costa;67;835.627.104-53;Feminino;Divorciado;fribeiro@example.net;+55 (061) 2180-5594;Lima;PB;Jeep;Wrangler;2019;Prata;209813,61;2024-10-20;À vista;177791,17;2007,88;30014,559999999972;2024-10-05;15;Sara Pinto;Busca Direta;2;Pago
47;Bianca Machado;39;930.475.618-93;Feminino;Solteiro;duartemaya@example.net;(041) 8991 6940;da Cunha de Oliveira;AM;Ford;Ranger;2014;Azul;136786,17;2024-11-16;Leasing;119877,8;0,0;16908,37000000001;2024-09-08;69;Alexia Cavalcanti;Feira;6;Em Atraso
48;Olivia Martins;51;107.589.634-75;Feminino;Viúvo;mateusoliveira@example.net;+55 21 2842 4443;Melo;SE;Ford;Ka Sedan;2020;Prata;249288,41;2024-06-06;À vista;203565,78;0,0;45722,630000000005;2024-02-08;119;Sra. Emanuelly da Cunha;Busca Direta;2;Pago
49;João Lucas Correia;68;879.405.621-85;Masculino;Divorciado;aylla62@example.net;+55 (071) 7837-4836;Barros do Sul;AL;Volskwagen;Nivus;2016;Branco;54414,59;2025-03-27;À vista;45282,14;0,0;9132,449999999997;2024-10-10;168;Luana Santos;Busca Direta;9;Pago
50;João Pedro Mendonça;18;874.190.635-75;Masculino;Viúvo;novaisaugusto@example.com;+55 31 8193 9597;Freitas do Galho;PE;Honda;Civic;2014;Verde;200699,79;2024-05-27;Financiamento;177227,16;1704,54;21768,090000000004;2023-11-08;201;Sra. Emanuelly da Cunha;Site;7;Cancelado
51;Bryan Leão;22;715.634.092-16;Masculino;Divorciado;amanda06@example.com;+55 31 7302-6214;Mendonça Paulista;AM;Peugeot;3008;2022;Branco;247274,49;2025-01-28;Leasing;201485,01;2595,3;43194,17999999998;2024-08-18;163;Luna Lima;Outros;9;Em Atraso
52;Antonella Rezende;56;028.394.165-06;Feminino;Casado;nathan12@example.org;+55 (041) 3773 1417;Peixoto de Vargas;RR;Volskwagen;Up;2021;Vermelho;145092,34;2024-10-16;Consórcio;129763,2;3385,02;11944,119999999999;2023-10-13;369;Luna Lima;Indicação;9;Cancelado
53;Júlia Cunha;61;914.285.073-88;Feminino;Viúvo;asousa@example.com;71 1896 0446;Vasconcelos;AC;Fiat;Argo;2019;Cinza;56644,09;2025-04-12;Financiamento;40942,81;4772,15;10929,13;2023-05-24;689;Sra. Emanuelly da Cunha;Redes Sociais;3;Pago
54;Raul Lopes;44;805.463.729-29;Masculino;Casado;sara41@example.org;(011) 1241 3834;Viana;AL;Volskwagen;Nivus;2015;Preto;224768,29;2025-04-01;Leasing;199075,28;7924,92;17768,09000000001;2024-02-25;401;Sara Pinto;Outros;7;Pago
55;Caroline Pinto;51;631.854.270-17;Feminino;Casado;kcavalcante@example.org;71 0008-1942;Farias;RJ;Citroen;C3;2016;Branco;179400,81;2025-01-02;À vista;159969,44;0,0;19431,369999999995;2023-12-27;372;Sara Pinto;Indicação;3;Pago
56;Emanuel Dias;32;984.056.231-24;Masculino;Solteiro;vcavalcanti@example.net;0300-571-0248;Gonçalves de Abreu;RS;Ford;Territory;2015;Branco;181415,38;2024-10-07;Leasing;158167,71;7920,7;15326,970000000012;2024-02-19;231;Dr. Renan Jesus;Site;8;Pago
57;João Pedro Guerra;49;536.071.249-06;Masculino;Viúvo;icaldeira@example.com;11 0770 3776;da Rosa;AM;Hyundai;HB20;2016;Vermelho;241286,73;2024-05-25;À vista;203285,79;9741,11;28259,83;2023-10-13;225;Luana Santos;Site;8;Pago
58;Manuella da Cunha;66;290.876.143-22;Feminino;Solteiro;barbosaluara@example.net;+55 81 1104 9891;Moura do Campo;AC;Citroen;Basalt;2015;Prata;145175,0;2025-01-06;À vista;103692,66;6444,06;35038,28;2024-10-09;89;Davi Lucca Novaes;Busca Direta;7;Pago
59;Bento Moreira;65;168.594.320-98;Masculino;Solteiro;aragaoluana@example.net;+55 81 9938-7615;Alves;SE;Hyundai;Creta;2016;Vermelho;41240,94;2024-09-19;Financiamento;36497,29;9757,28;-5013,629999999999;2023-11-15;309;Alexia Cavalcanti;Feira;5;Cancelado
60;Maria Isis Barros;42;219.507.648-85;Feminino;Casado;melissamartins@example.net;+55 (071) 5161-5367;Casa Grande;PR;Citroen;C4;2021;Cinza;191911,92;2024-09-25;À vista;142270,85;6726,21;42914,86000000001;2024-05-24;124;Ian Pereira;Site;7;Pago
61;Lucca da Rocha;22;789.652.304-38;Masculino;Solteiro;lara46@example.org;+55 21 8870 5269;Sousa;SP;Citroen;Aircross;2016;Cinza;102075,92;2025-04-15;À vista;72877,67;5395,61;23802,64;2025-02-28;46;Sara Pinto;Busca Direta;4;Pago
62;Benicio Cunha;29;901.852.736-02;Masculino;Viúvo;luararezende@example.org;+55 51 5091 5567;Novais;DF;Peugeot;Partner;2023;Cinza;141880,51;2025-02-27;À vista;105191,42;2721,13;33967,960000000014;2023-05-25;644;Sra. Emanuelly da Cunha;Feira;4;Pago
63;Gustavo Henrique Guerra;45;562.489.370-10;Masculino;Viúvo;gael27@example.com;(051) 0513-1979;Novaes;SE;Citroen;C4;2013;Branco;41184,82;2024-05-14;À vista;30635,72;9885,64;663,4599999999991;2023-07-26;293;Davi Lucca Novaes;Indicação;3;Pago
64;Maria Fernanda da Mota;55;703.892.546-65;Feminino;Divorciado;marina76@example.org;+55 21 2407 0384;Aragão do Sul;PB;Peugeot;3008;2014;Vermelho;171500,11;2024-11-22;Financiamento;120994,83;9113,24;41392,039999999986;2024-01-22;305;Paulo Castro;Indicação;4;Pago
65;Lunna Rocha;20;542.018.793-05;Feminino;Divorciado;antonella93@example.org;0900 168 8041;Vasconcelos de Cavalcante;CE;Honda;HR-V;2018;Prata;214611,77;2024-10-22;À vista;171350,95;2480,74;40780,07999999998;2024-05-02;173;Davi Lucca Novaes;Indicação;6;Pago
66;Calebe Fogaça;46;604.739.582-10;Masculino;Solteiro;scunha@example.com;+55 (031) 3246 1554;da Rosa;SE;Hyundai;Creta;2023;Branco;88892,18;2024-12-06;À vista;69434,2;0,0;19457,979999999996;2023-07-22;503;Davi Lucca Novaes;Busca Direta;5;Pago
67;Theo Mendonça;65;471.028.539-04;Masculino;Solteiro;crezende@example.org;71 8091 0015;Pereira do Amparo;AM;Fiat;Fiorino;2013;Cinza;40983,58;2024-06-06;À vista;30752,97;7715,42;2515,1900000000005;2024-01-06;152;Paulo Castro;Site;7;Pago
68;Antony Casa Grande;40;071.824.359-50;Masculino;Viúvo;andradeemanuelly@example.net;+55 61 1181 1503;Castro;DF;Citroen;C3;2020;Branco;210105,68;2024-10-09;Leasing;159315,27;0,0;50790,41;2024-07-09;92;Sara Pinto;Outros;3;Cancelado
69;Arthur Gabriel Dias;70;612.495.837-64;Masculino;Casado;da-rochagael-henrique@example.org;84 1038 3038;Macedo;PI;Honda;City;2018;Azul;162465,54;2024-05-24;À vista;139593,83;0,0;22871,71000000002;2023-10-23;214;Emilly Gonçalves;Outros;3;Pago
70;Thomas Pacheco;23;415.723.980-60;Masculino;Casado;miguelsilva@example.com;+55 (011) 0373-9669;da Luz;RR;Hyundai;HB20S;2013;Azul;246674,63;2024-08-31;Financiamento;202402,1;6804,7;37467,83;2023-08-07;390;Sara Pinto;Outros;6;Cancelado
71;Apollo Costa;39;674.523.908-65;Masculino;Divorciado;aragaomaria-liz@example.net;+55 (071) 7800-9051;Araújo;MT;Honda;CR-V;2022;Branco;224273,8;2025-01-15;Leasing;176532,53;0,0;47741,26999999999;2024-03-13;308;Luana Santos;Feira;9;Cancelado
72;José Miguel Cavalcante;24;564.283.017-17;Masculino;Solteiro;sousacarlos-eduardo@example.net;41 0129 5462;Vieira;PB;Peugeot;Partner;2013;Vermelho;56287,46;2024-07-03;Financiamento;41958,87;3816,36;10512,229999999996;2023-09-27;280;Davi Lucca Novaes;Outros;2;Cancelado
73;Matteo Machado;49;549.083.617-20;Masculino;Casado;joao-felipeda-luz@example.net;+55 (081) 9890 5209;das Neves;MT;Citroen;C4;2017;Branco;186511,89;2024-06-19;Financiamento;142633,35;0,0;43878,54000000001;2024-03-02;109;Davi Lucca Novaes;Redes Sociais;10;Cancelado
74;Henry Gonçalves;28;149.587.230-05;Masculino;Solteiro;joao-felipe30@example.org;+55 (021) 6911 0609;Martins de da Paz;RJ;Volskwagen;Nivus;2015;Cinza;141253,74;2025-04-03;Financiamento;115599,71;9269,8;16384,229999999985;2024-11-13;141;Luana Santos;Redes Sociais;4;Em Atraso
75;Erick Sampaio;68;713.498.265-37;Masculino;Casado;da-luzlorena@example.com;+55 31 0159 0261;Ramos;PI;Peugeot;308;2017;Cinza;105936,91;2024-10-12;À vista;86796,32;2955,18;16185,409999999996;2023-07-02;468;Davi Lucca Novaes;Busca Direta;6;Pago
76;Vitor Fernandes;39;547.903.268-29;Masculino;Casado;gustavo51@example.net;0900-516-1142;Teixeira;MA;Toyota;Hilux;2014;Verde;230400,54;2024-07-20;À vista;199885,21;0,0;30515,330000000016;2024-06-25;25;Luana Santos;Redes Sociais;5;Pago
77;Apollo Pires;68;172.384.960-03;Masculino;Viúvo;hviana@example.com;+55 (061) 0955 7450;Casa Grande do Campo;GO;Citroen;C4 Grand Picasso;2017;Branco;180705,38;2024-05-12;Financiamento;134516,07;5747,18;40442,13;2023-08-15;271;Sara Pinto;Site;6;Em Atraso
78;Esther Moraes;69;493.160.782-96;Feminino;Divorciado;lara92@example.net;+55 (051) 3759 7025;Fonseca;AL;Honda;CR-V;2016;Verde;164887,88;2025-03-26;Financiamento;131462,19;4726,44;28699,250000000004;2024-04-06;354;Emilly Gonçalves;Busca Direta;8;Em Atraso
79;Giovanna Costela;31;723.950.416-61;Feminino;Casado;mcostela@example.com;+55 11 4270 4294;Novaes dos Dourados;MA;Jeep;Compass;2013;Cinza;197121,42;2024-05-21;Financiamento;160305,12;0,0;36816,30000000002;2023-04-22;395;Dr. Renan Jesus;Site;6;Pago
80;Olivia da Cruz;39;470.125.683-80;Feminino;Viúvo;azevedodavi-lucas@example.org;21 8851 9534;Almeida;GO;Peugeot;308;2017;Cinza;248638,22;2024-04-28;Financiamento;218729,83;0,0;29908,390000000014;2023-06-11;322;Alexia Cavalcanti;Indicação;2;Pago
81;Samuel Nunes;32;961.438.702-50;Masculino;Divorciado;calebcarvalho@example.net;+55 11 7647-0208;Cassiano de Minas;RJ;Peugeot;2008;2018;Verde;76016,37;2024-06-14;Financiamento;60068,33;9577,19;6370,849999999993;2023-05-18;393;Luana Santos;Outros;6;Em Atraso
82;Francisco Alves;45;489.701.236-87;Masculino;Viúvo;daviporto@example.com;0900 463 2268;da Costa;TO;Honda;Fit;2015;Branco;105623,97;2025-02-14;Financiamento;84300,65;0,0;21323,320000000007;2024-12-31;45;Sara Pinto;Outros;8;Pago
83;Bella Fernandes;49;301.267.945-61;Feminino;Casado;alvestheo@example.org;(081) 4435-2582;Brito de Gonçalves;AL;Ford;Focus;2020;Vermelho;133920,98;2024-08-11;À vista;104106,43;7550,66;22263,890000000018;2024-03-19;145;Luna Lima;Site;4;Pago
84;Vitor Gabriel Porto;51;680.957.423-92;Masculino;Casado;marina63@example.net;0800-063-3358;da Rosa;ES;Fiat;Argo;2019;Prata;173025,32;2024-11-10;Financiamento;132116,69;2242,62;38666,01;2023-12-11;335;Paulo Castro;Site;7;Cancelado
85;Maria Sophia Novaes;46;306.871.459-10;Feminino;Solteiro;joao-felipemoraes@example.com;+55 (031) 8230 4208;Carvalho;PR;Ford;Focus;2022;Azul;53780,21;2024-09-16;Financiamento;38308,27;7847,47;7624,470000000002;2023-09-10;372;Sra. Emanuelly da Cunha;Indicação;1;Cancelado
86;José da Luz;62;368.179.054-00;Masculino;Casado;joao-pedro81@example.com;51 7578 2468;Pacheco;RN;Peugeot;2008;2015;Vermelho;112813,73;2024-10-13;Financiamento;101216,79;898,64;10698,300000000003;2023-05-14;518;Dr. Renan Jesus;Busca Direta;2;Em Atraso
87;Enzo Câmara;18;041.873.926-96;Masculino;Casado;da-luzana-julia@example.org;+55 11 3537 6127;Ferreira de Vieira;PA;Peugeot;Partner;2013;Prata;152674,7;2024-07-18;Financiamento;116154,56;1955,09;34565,05000000002;2024-04-01;108;Alexia Cavalcanti;Redes Sociais;2;Pago
88;Bryan Andrade;62;230.678.451-53;Masculino;Casado;stephanyguerra@example.com;11 1186-1553;Rezende do Amparo;AL;Ford;Ka;2018;Branco;171106,34;2024-11-23;À vista;130540,7;0,0;40565,64;2023-10-17;403;Dr. Renan Jesus;Indicação;10;Pago
89;Vitor Lima;20;095.324.786-47;Masculino;Viúvo;bgarcia@example.org;41 2806-0652;Gonçalves;BA;Peugeot;308;2013;Vermelho;183356,05;2025-02-17;À vista;142625,29;9481,75;31249,00999999998;2023-12-31;414;Paulo Castro;Site;6;Pago
90;Arthur Miguel da Paz;56;670.254.138-44;Masculino;Solteiro;joana97@example.net;+55 21 8081-4613;Almeida do Amparo;RS;Peugeot;2008;2020;Azul;246792,35;2024-05-24;Leasing;215124,26;1265,09;30402,999999999996;2023-08-01;297;Sra. Emanuelly da Cunha;Busca Direta;5;Cancelado
91;Maria Julia Marques;64;327.485.610-07;Feminino;Viúvo;xpires@example.org;0800-932-6647;Machado da Prata;RR;Citroen;C3;2013;Cinza;61252,61;2025-01-15;Financiamento;47178,85;1881,66;12192,100000000002;2023-07-17;548;Luna Lima;Busca Direta;2;Cancelado
92;João Felipe Pimenta;62;427.085.369-74;Masculino;Divorciado;oalbuquerque@example.com;0500 655 8115;Dias;TO;Ford;Focus;2022;Azul;110525,96;2024-09-24;À vista;84426,69;5751,29;20347,980000000003;2023-12-06;293;Luana Santos;Outros;10;Pago
93;Hellena Nascimento;46;895.634.107-93;Feminino;Viúvo;cauacarvalho@example.org;+55 (084) 2384-8800;Cirino;MS;Citroen;Basalt;2022;Prata;176985,44;2024-10-28;À vista;127282,91;5992,44;43710,09;2023-07-10;476;Davi Lucca Novaes;Indicação;5;Pago
